miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39
hsa-miR-191-3p	1.985698	0.196973	1.435434	5.245342	0.612164	3.092239	0.425468	1.698296	3.277331	0.90084	1.004431	0.268524	0	1.40887	0.88728	0.58804	0.258479	2.216399	0.312736	0.628344	0.527126	0.215304	2.695828	0.866317	0.61868	0.93295	0.349564	0.136143	2.039471	0.317422	1.663781	0.52295	0.747232	0.476242	1.602432	2.273441	0.590631	2.73211	0.150465	0.939006	0	0.520623	0.106837	1.507608	0.40988	0.125326	0.328302	0.608087	0.367102	0.17534	0.192383	0.417704	0.136598	0.39465	0	0.099869	1.127616	0.153668	0	0.225991	0.157266	1.058757	0.157473	1.339363	0.374582	0.406456	0.616968	0.676569	0.462954	0	0.185885	1.55153	0.134154	0.999221	0	0	0	0
hsa-miR-191-5p	603.652169	110.107798	180.249531	251.224235	280.982965	418.777583	168.485364	193.794428	284.763549	174.462791	268.183133	141.78048	198.542813	360.469949	226.847908	206.255191	125.620576	833.536219	285.451539	260.971976	281.485035	211.644038	212.58536	219.611475	175.241108	175.581159	237.353914	135.054295	366.28901	174.264527	243.149853	133.090856	304.497029	271.457852	249.71223	506.124936	187.623834	499.975961	234.273682	257.131324	172.18479	205.646263	246.151877	207.547215	177.478182	176.70973	174.163982	164.031372	136.561923	123.439365	114.852397	153.088631	182.904409	99.320281	103.849194	129.830195	295.153644	135.07429	156.446597	125.425005	123.454166	182.529588	162.669735	208.36658	135.224425	206.682744	121.851206	161.925353	173.376259	160.1856	124.728748	286.368144	118.860522	140.223821	138.5072	164.183206	223.979916	84.262347
hsa-miR-1910-5p	0.541554	0	0	0	0.306082	0.220874	0	0.1887	0.364148	0	0	0	0	0.201267	0.29576	0	0	0.681968	0	0	0	0.215304	0.385118	0	0	0	0	0.136143	1.223683	0	0	1.307375	0	0	0	0.28418	0	1.092844	0	0	0	0	0	0	0	0	0	0	0.183551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225523	0	0	0.185885	0	0	0.166537	0	0	0	0
hsa-miR-1911-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59152	0	0	0.681969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1911-5p	0	0.196973	0.205062	0.276071	0	0.220874	0.425468	0	0	0	0.66962	1.074095	0	6.440557	181.89239	0.14701	0.258479	47.055837	0.625475	0	0.351417	0.215304	0	0	0	0.18659	0.349564	0	0	0	0	0	0	0.238121	0.801216	0	0	0	0	0.156501	0.449178	0	0.427347	0	0.20494	0	0	0	0	0	0.577148	0.208852	22.265436	0.5262	0.188133	0.199739	0	1.690349	0.201606	0	0.629066	0.211751	0.314946	0.382675	0	0.812911	0	0.225523	0.231477	0.967889	0.185885	0.664942	0.67077	0.333073	0.351541	1.778157	0.812995	0.319579
hsa-miR-1912	0	0	0	0	0	0.441748	0	0	0	0	0.33481	0.268524	0	0	0	0	0	0.340984	0	0	0.351417	0	0	0.216579	0	0	0.699128	0	0	0	0	0	0	0	0	0.28418	0	0	0	0.156501	0	0	0	0	0	0	0.164151	0	0	0	0.384765	0	6.146901	0	0	0.099869	0.281904	0.614672	0	0.225991	0	0	0.157473	0.191338	0	0.609684	0	0	0.462954	0	0	0.221647	0	0	0	0	0.406498	0
hsa-miR-1913	0.541554	0.196973	0.205062	0	0	0	0	0	0	0.30028	0	0	0	0	0	0	0	0	0.156369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273211	0	0	0	0	0	0	0	0	0	0.152022	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211751	0	0	0	0	0	0	0	0	0	0.221647	0	0	0	0	0	0
hsa-miR-1914-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237683	0	0	0	0	0	0	0.273211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1914-5p	0.180518	0	0	0	0	0	0	0.1887	0.364148	0	0	0	0	0	0	0	0	0.170492	0	0	0	0	0.770236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.281904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1915-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201267	0.29576	0	0	0	0	0	0	0	1.155355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225991	0.157266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1915-5p	0.180518	0	0	0	0	0	0	0	0	0.60056	0	0	0	0	0	0	0	0	0	0	0	0	1.155354	0	0	0	0	0	0	0.317422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-192-3p	0.90259	0.787891	2.665806	1.656424	0.306082	0.441749	1.06367	0	0.364148	0.60056	5.691776	0.268524	3.795671	69.437258	0	0.88206	0.258479	0.681969	1.094582	0.837791	0.878543	1.507129	0	0.649737	0.30934	1.8659	2.446948	0.544573	0.407894	2.856795	0.237683	1.0459	2.241696	53.577208	0.267072	1.705081	0.787508	4.917797	1.203719	1.721512	2.695067	1.041246	2.777757	0.670048	0	1.002608	1.149055	0.152022	0.917755	1.05204	0.384766	1.04426	1.639174	0.65775	0.188133	0.299608	1.127616	1.229344	1.411244	0.677973	0.314532	0.635254	1.417258	0.382676	1.685622	1.422596	0.308484	0.902092	0.694431	0.967888	0.185885	0.886588	0.939078	1.665366	0.878853	0.790292	2.235735	0.426106
hsa-miR-192-5p	161.92464	171.563313	151.130722	367.173884	189.158467	232.801462	221.456144	161.904205	206.471781	187.9754	2311.865847	54.241774	1314.762182	17985.25676	186.624551	249.770185	280.190748	242.610355	228.2205	97.812129	224.731186	191.836052	265.7317	236.504667	145.544469	407.885665	537.629335	125.796539	174.170833	671.346945	266.680481	277.948098	543.237646	22266.68734	321.020429	823.270037	200.814597	699.146706	251.577134	289.840057	194.194499	129.114617	445.61609	218.267976	149.196439	152.396478	259.850689	170.720325	209.064555	345.419814	136.976392	228.484259	240.95846	169.041802	156.150055	192.648036	194.795768	186.092112	191.727725	184.634647	253.041729	172.365529	316.363504	186.936775	242.355139	216.234451	113.830621	211.089317	212.49587	178.091546	237.932634	241.373769	187.681568	163.70548	176.122099	130.003068	196.134863	157.872063
hsa-miR-193a-3p	2.527252	2.166701	5.946798	4.693201	2.448653	5.742731	4.680149	6.604485	6.190512	2.702521	12.387983	3.490808	6.715419	6.239291	4.14064	8.967616	3.877178	6.478702	0.781844	4.398406	2.635629	1.507128	7.31725	6.064222	3.0934	9.14291	8.389535	20.966089	2.447365	1.269687	1.901465	4.968027	9.3404	4.762419	11.217021	5.399423	5.31568	19.671185	6.018592	7.825055	5.53986	5.726857	6.730716	6.365451	4.508683	4.887716	2.133961	5.624802	5.139428	2.98078	3.078121	5.430156	6.1469	5.919751	3.57452	3.595298	6.20189	3.995373	1.61285	4.293829	5.189791	5.505533	4.251774	8.418854	5.993327	4.267784	3.393324	2.706274	5.555448	0.967889	3.345928	3.768001	4.9637	5.662245	3.691181	5.136898	4.26822	2.450105
hsa-miR-193a-5p	199.833418	91.39538	299.185513	142.452423	125.187398	238.102443	182.313078	202.852005	131.82149	145.035332	191.17674	56.12144	105.402876	329.2735	242.818949	274.026855	191.791083	284.210447	51.99268	370.094287	73.270448	99.685849	164.830679	189.723525	134.872239	280.631309	308.664956	490.116395	108.907758	137.443606	116.464739	259.906314	317.199972	191.687342	397.670065	148.342064	178.567491	289.876772	233.671824	161.822149	100.765533	146.295191	158.759412	144.395237	189.159771	101.890079	129.350817	177.409277	231.274222	137.466565	125.818203	116.1218	161.32196	194.562511	169.695601	129.03124	293.46222	170.57163	169.954229	89.040454	147.673202	212.386517	168.181297	225.012944	237.860143	142.665964	74.498903	118.850502	161.80241	142.763603	147.964355	141.854189	127.043921	148.051039	139.386052	144.030755	118.087414	83.410138
hsa-miR-193b-3p	133.402797	43.53099	26.658065	38.373814	23.568288	85.69921	17.86966	46.797488	14.565911	41.438666	56.248148	180.179359	35.036968	15.296324	91.389837	30.872122	17.318065	65.128008	20.484333	36.862815	14.23239	5.167301	96.2796	39.200863	8.19751	22.950567	4.194767	185.427368	12.64472	44.756461	10.458057	35.560622	28.768431	7.381749	158.106567	14.493191	17.128304	84.968594	48.148733	11.42458	11.379168	13.536209	5.876022	15.578606	10.861828	6.015651	8.699993	10.185452	9.911753	6.48758	6.73339	8.980642	8.60566	4.604251	4.891448	4.69386	9.866644	5.224716	11.491566	8.135676	10.065053	11.85807	11.338064	11.67159	13.484982	7.316204	8.637554	5.187024	7.870218	4.839444	6.691857	8.865887	8.451706	8.82644	9.843151	8.298067	6.910453	4.261054
hsa-miR-193b-5p	16.788174	5.909185	2.05062	4.14106	3.979063	7.7306	1.914606	3.396592	3.641479	4.504203	3.348103	11.277994	4.087647	0.603802	11.8304	4.116283	2.843264	11.593467	4.221961	6.492883	1.229961	1.076521	11.168433	2.815531	1.85604	4.10498	0.349564	20.421515	1.631576	7.300699	1.901464	8.62868	2.615312	1.428726	11.751164	0.56836	1.378139	3.551742	6.620452	1.565011	0.598904	2.603117	0.854694	1.005072	1.024701	0.501304	1.149056	1.368195	1.101306	1.7534	0.961913	0.208852	1.229381	0.39465	1.505061	1.597909	1.127616	0.614672	1.008032	1.355946	1.100865	1.482259	0.944839	1.722039	2.247497	1.829051	0.462726	1.127615	0.925908	0.483944	0.557655	1.329883	0.67077	0.99922	0.878854	1.185438	1.016243	0.532631
hsa-miR-194-3p	0.180518	0.787891	0.205062	1.104282	0.306082	0.441749	0.425468	0.1887	0.364148	0.900841	3.682914	0	6.131469	70.242327	1.4788	1.029071	0.516958	0.85246	0.703659	0.628344	0.175709	0.861217	0	0	0.46401	1.11954	0.699128	0.40843	1.223682	1.587108	0.475366	0.52295	0.747232	27.145786	0.534144	3.978522	0.590631	1.639266	0.60186	0	0.149726	0	0.106837	0.83756	1.024701	0.375978	0.328302	0.456065	0.367102	0.8767	0.384765	0	0.273196	0.65775	0.564398	0.199738	0	0.153668	1.209638	0.677973	0.629066	0.635254	0.629892	0.956688	1.311039	0.812911	0.154242	0.225523	0.462954	0.483944	0.743539	0.443294	0.804925	0.99922	0.527312	0.395146	0.406497	0.213053
hsa-miR-195-3p	5.235022	1.772755	3.691116	1.932495	4.897306	2.208743	2.765542	0.5661	2.184887	0.90084	1.004431	2.95376	2.043824	2.616476	1.77456	2.499172	2.584786	2.045906	1.250952	1.675583	4.568422	3.444866	1.925592	3.681848	2.01071	2.98544	5.24346	3.403585	2.039471	1.587108	1.663781	2.61475	1.120848	1.428726	1.602432	0.85254	0.787508	2.458899	2.557902	3.756026	3.144244	3.12374	2.564082	3.015214	4.713623	3.258477	3.93962	3.952563	4.588774	3.15612	3.655269	3.132782	3.824738	3.9465	1.881327	2.99608	4.228561	3.22703	3.427309	3.163874	5.818858	3.176269	8.346075	3.252739	3.558537	2.641962	2.159388	2.255228	3.472155	4.355499	2.788274	2.659766	4.695393	2.164976	4.921576	5.136899	3.455226	3.302317
hsa-miR-195-5p	43.685354	24.6216	74.43752	52.453412	73.765681	28.05103	38.292128	32.64502	28.767673	17.416251	33.48104	49.408348	37.372766	50.316855	34.603919	58.510025	39.030261	40.577135	15.636895	36.234472	62.025104	42.845538	21.951749	62.374857	21.6538	61.014919	315.306671	54.321232	27.328913	30.472485	31.136491	34.776196	25.779504	22.383367	28.309622	12.503928	34.256608	16.119444	54.317791	124.574883	195.691757	129.114617	199.571051	76.217904	86.279809	139.613221	105.056502	84.22	76.540754	82.409803	133.321125	108.39427	240.958457	209.822315	196.598563	241.584031	222.140469	228.350848	142.13254	77.062931	86.968351	70.30142	106.766778	113.080486	171.74626	324.351679	131.87694	31.122144	116.895875	90.497607	142.201926	111.93182	114.433437	80.104107	109.505057	150.15552	132.518064	104.182779
hsa-miR-196a-3p	0	0.196973	0	0	0	0	0	0	0	0	0	0	0	0.402535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.952265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-196b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201267	0	0	0	0	0	0	0	0	0	0	0	0.18659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-196b-5p	6.859684	1.772755	5.536675	3.036777	1.836491	1021.543413	12.125841	6.415786	8.011251	6.606164	230.014747	1.879666	15.766635	80.506966	76.306077	6.909475	2.584786	47.055838	1.485504	50.058028	5.095548	2.153041	132.865851	10.828967	31.86202	116.991909	9.787791	23.144384	2.855259	7.618122	5.942078	2.091801	1.494464	40.004315	95.34467	3.978522	8.859467	84.422171	7.82417	14.0851	6.138762	2.082493	7.371737	6.19794	1.844461	3.509129	5.416976	2.584368	6.240733	11.22176	1.731443	12.739981	4.91752	9.603152	1.316929	2.496734	5.074274	2.612358	3.024097	3.615856	4.088928	6.352538	17.479517	5.166113	4.682286	2.845191	2.005146	4.284933	3.472155	5.323388	4.089468	4.654591	6.036934	6.828001	2.109247	1.778157	4.471469	1.810948
hsa-miR-197-3p	478.011646	126.259568	375.878716	482.57139	169.263159	531.423448	102.325076	173.980977	406.753048	211.096974	220.640057	75.723664	100.73128	218.576419	132.796234	160.682055	124.328182	357.181095	122.749635	239.6083	102.086647	137.794695	452.129009	161.351627	183.593287	152.070823	92.634445	106.055741	214.144467	137.443607	77.722386	138.84331	76.964894	95.962731	288.704729	174.770822	153.367228	233.868536	108.334653	222.075076	161.254799	283.219158	140.383491	152.603319	130.341944	118.934423	123.769691	156.58231	163.176813	111.516244	103.694207	119.672284	69.391666	63.538669	80.332619	63.317186	203.8167	107.721362	180.840977	173.561087	134.93462	236.31441	230.383179	177.752572	135.786302	110.962416	80.205857	106.897797	162.265364	144.699381	113.389771	138.972775	105.713422	144.886843	123.03939	96.810794	130.079079	56.991602
hsa-miR-1976	10.83108	18.318471	13.739155	21.533507	14.079758	6.626228	8.722095	4.90619	10.560287	11.110368	4.687345	5.638996	7.299369	21.334346	10.3516	20.287395	13.182406	9.206579	6.880233	9.215705	9.488263	10.119296	11.168434	10.828968	9.43487	11.755168	13.632994	3.812017	16.723663	12.379446	11.646473	10.72048	23.537808	6.905507	12.285307	6.820324	14.962655	14.753391	11.886719	23.631667	7.186843	11.974339	11.111024	22.27908	8.812425	5.764997	13.132064	14.746101	14.133425	13.67652	6.733392	16.081615	8.332464	7.103702	8.842233	7.490204	21.988523	7.683407	8.870682	14.011442	9.593251	25.621902	16.377205	13.967641	9.739155	9.55171	5.39847	7.893298	14.814528	19.357775	15.428444	17.510128	7.512628	12.656783	12.128169	7.11263	14.633895	4.580633
hsa-miR-198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150465	0	0	0	0	0	0.20494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-199b-3p	2231.382909	534.781163	3084.338118	542.754779	1800.6784	2394.056007	1517.00649	4250.645828	1651.774237	862.10443	1035.568583	1425.860492	2381.929803	966.28489	1309.033693	2256.164244	1969.348065	1941.735323	480.600006	1677.048649	2756.339389	596.17736	2456.670326	2113.164885	1336.65812	1224.403357	503.721632	5118.721168	872.485739	750.702378	1468.406444	1447.787984	761.42938	840.328732	1838.522988	578.022524	784.555072	539.318328	2384.11465	961.229821	887.575161	832.99753	1231.293552	796.016434	1185.783792	861.741928	724.397402	973.394691	1082.950722	1102.362618	837.24896	792.802787	1095.923867	847.971564	597.88539	921.694517	1007.525429	740.834081	643.729365	744.18836	938.723478	911.80094	962.160782	1151.85198	1147.53472	980.371236	505.142658	710.847782	741.652247	502.334305	941.32098	781.084628	948.603557	957.58546	891.332493	965.934652	619.501619	492.04525
hsa-miR-199b-5p	209.400872	26.394357	106.837321	51.073059	147.225278	104.473521	72.755044	150.393535	67.367336	32.12998	59.59625	88.075751	184.82	66.820784	70.982397	95.262554	86.331838	115.082214	43.939677	92.366485	101.910938	34.663977	142.878929	91.613073	63.414699	49.446341	24.81904	218.918655	49.763094	17.140774	20.916115	57.001584	39.603295	43.57613	61.69361	25.860397	41.737935	28.413934	143.392948	53.210377	57.943924	100.480327	106.836753	60.806812	151.245841	147.383436	75.837662	70.690073	92.509689	80.831743	65.602458	61.193682	65.840124	51.436065	36.121458	62.418363	60.891296	41.029392	39.716469	63.729462	70.612639	97.829085	90.389572	96.242781	43.264325	48.977917	51.671081	41.496191	47.915735	30.972443	60.040812	64.94262	59.161952	60.952397	73.296322	132.571517	64.836292	37.177698
hsa-miR-19a-3p	14.802476	3.742483	1.435434	8.282119	16.222328	25.621415	12.976776	10.189776	40.420403	35.733343	45.534215	13.694706	15.182686	8.855767	3.25336	3.675253	8.012837	9.718053	13.760468	6.073986	7.555467	9.042776	32.349945	7.363699	8.50685	4.47816	5.942587	6.534884	3.671047	10.474917	7.368177	9.936056	7.845936	4.762418	9.881661	26.144578	7.678205	11.474859	6.921382	7.355551	8.534377	2.603117	9.615308	11.55832	12.296409	6.516955	9.520747	9.1213	10.829507	13.32584	9.041982	8.562938	3.005151	1.18395	1.505061	2.796342	4.510466	2.766026	4.636949	10.847568	9.907786	9.317056	16.534677	8.418852	4.120411	3.251646	3.547566	6.089116	6.018402	8.710999	4.275353	13.963771	10.598172	10.658342	8.085447	5.1369	4.064972	5.219792
hsa-miR-19a-5p	0.180518	0	0	0	0	0	0	0	0	0	0	0.537048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28418	0	0.273211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-19b-1-5p	9.0259	2.363674	2.255682	3.312848	4.897307	5.080109	5.318351	3.207893	6.55466	7.507004	7.365828	5.907521	2.627773	6.440558	3.54912	2.499172	3.877179	5.626242	6.176572	2.513373	4.041296	4.521389	6.161893	1.082896	4.48543	2.23908	3.495639	3.131299	3.263153	2.856796	5.229029	3.922126	2.988928	2.381209	1.869503	6.251964	4.725049	3.278531	2.708366	2.191015	3.29397	0.520623	3.098267	4.020285	4.303743	2.757173	2.626413	2.73639	2.386163	2.45476	2.116209	0.835409	1.365978	1.18395	0.75253	2.296995	2.255233	1.229345	2.82249	1.581937	1.729931	2.541015	3.621881	3.061402	1.31104	1.219368	0.77121	2.48075	2.083293	0.967888	1.672964	2.216471	2.817236	5.329171	4.042723	2.370877	2.438982	1.384842
hsa-miR-19b-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200a-3p	487.5791	412.264079	37.936476	133.066023	287.71676	231.476216	50.843436	83.593896	167.50797	479.247186	287.602139	291.616667	93.723885	355.840799	77.193357	160.535045	69.789208	112.013355	272.160175	19.478648	260.224304	184.946317	283.832267	159.835572	210.196528	161.586911	380.675127	79.643912	190.486601	825.613903	126.447431	195.060472	530.908318	3391.556283	4.006079	742.562859	91.941586	422.110852	264.968501	71.364505	59.740637	34.88177	32.798884	78.060535	167.026234	38.851075	52.035799	137.27556	54.331088	60.842981	98.692262	62.237943	55.458692	30.388059	27.279227	60.321106	51.306556	53.169173	72.578316	114.125455	86.339285	87.453273	70.233013	104.470298	43.077035	68.69102	59.537424	91.336723	90.044546	45.006831	52.791305	106.612289	76.333676	85.100204	128.136736	152.921543	82.925413	43.036648
hsa-miR-200a-5p	942.123406	590.130523	133.085261	1368.757975	260.16941	508.452525	179.760269	255.876576	577.902495	529.093699	383.023102	196.827825	77.081328	1047.999461	386.558301	308.721241	264.423556	298.190805	403.197365	156.666966	526.598407	352.8836	417.468355	245.16784	605.842381	406.019767	533.784132	208.844039	354.867971	1238.579564	267.15585	337.302961	644.113962	1894.966294	8.27923	1626.079102	430.963879	2082.959945	502.702874	102.664729	73.215967	80.696635	50.747459	105.029947	160.058268	38.224445	81.582938	97.749929	55.432393	70.837362	109.465684	83.540862	52.863336	58.145118	48.350077	86.786491	97.256932	54.39852	90.319685	77.966895	71.241704	85.759263	79.681399	125.326087	56.9366	71.536209	102.108225	209.059609	120.136553	115.178771	92.013009	107.055584	63.857345	89.929765	156.787338	171.493408	114.835438	50.173915
hsa-miR-200b-3p	2238.964665	974.818406	132.8802	587.754282	941.507183	737.057378	172.314578	253.234784	567.706359	1131.455762	1177.863006	865.183147	270.660572	1178.622018	235.720708	326.656475	180.159552	315.069529	833.13383	135.512736	608.654276	542.997217	1076.020833	529.103394	674.67053	549.694041	1323.449064	342.128469	604.907129	1278.574698	334.420179	781.026314	1473.915067	3384.650774	11.21702	2094.123893	338.037906	1484.354852	682.959699	286.240531	313.526044	194.192549	164.208087	286.947846	663.186371	173.325929	289.233679	447.399746	234.027486	305.61763	442.287538	284.038933	184.406984	114.185437	102.155999	209.725701	178.163423	170.878966	352.811268	313.223524	287.797615	420.538009	383.919474	450.982578	126.796311	260.741357	301.543176	339.637298	299.06826	247.295596	200.75566	347.099468	226.183792	249.138756	544.537186	792.070365	406.700374	230.736091
hsa-miR-200b-5p	94.771946	26.788302	6.767047	43.619153	15.916246	28.49278	5.105617	12.831569	32.045003	21.920454	28.124074	13.157659	4.379622	32.001518	14.788	16.318123	6.978922	10.229529	19.311566	4.188956	19.503645	15.501902	15.404736	12.128445	24.12852	15.300378	34.257266	8.849324	13.052615	46.660995	8.31891	17.518835	25.779504	53.339088	0.534144	54.278418	12.009499	94.257764	22.419255	5.321037	5.390132	4.164987	4.487144	4.020286	7.787725	1.87989	4.760373	3.192455	2.202612	3.5068	6.541008	3.550485	5.327313	3.55185	2.82199	5.392946	3.100946	5.071048	7.257832	5.649775	3.774395	4.658528	2.677043	6.696814	2.809372	5.690381	3.85605	5.412547	5.555448	2.419721	3.160043	6.427768	1.878157	2.164975	5.097347	13.03982	5.487712	3.515369
hsa-miR-200c-3p	14780.09118	8937.64097	2011.043409	3974.864329	13522.99378	10246.57739	2994.018981	2308.550167	6614.379906	19642.22817	12477.37937	9558.63576	7885.361382	13815.59959	3875.343084	3914.732369	4209.06469	12604.31563	21862.7265	5024.234159	5877.449644	7567.512402	8860.419224	4256.650878	10665.57903	6723.769418	16891.27898	5082.09858	15655.79601	28307.35184	8386.174254	6346.002236	11468.1427	8625.454127	5747.654444	15772.56945	4644.920412	4315.366259	6698.542132	4536.028199	3855.591763	5108.877981	2782.349502	4574.079282	7851.462647	3712.032315	5753.977375	5813.764348	3096.688412	3686.87431	5394.022598	3206.507163	2678.955367	1900.766542	2456.635441	3379.180371	4457.750317	2891.41963	6859.054314	4886.377376	3849.568341	6636.284596	4901.823379	5696.883843	2431.230325	3853.810068	3879.958361	9829.635586	5807.063013	7138.180163	3064.869731	7371.541609	3271.347436	4535.624344	6508.080612	7935.719212	5574.091828	3552.547536
hsa-miR-200c-5p	23.286821	15.757825	7.587295	30.091694	26.323023	36.002502	8.296627	9.246278	40.056254	99.993303	33.146229	22.82451	12.262938	60.581493	21.294719	11.172768	22.746114	40.91812	22.517127	9.6346	24.423483	29.066069	50.065392	11.045547	40.368869	34.705734	20.973837	12.252909	38.342056	49.517789	56.568588	19.087687	20.922495	9.524837	16.82553	77.297014	17.915812	31.692465	18.50717	11.424581	5.989036	8.850598	4.700818	9.715689	18.444614	7.394237	13.460364	9.881408	6.791386	10.5204	8.657216	4.385895	9.288649	8.024552	6.584641	12.88315	10.14855	9.527424	11.894779	12.881487	8.964188	13.975583	8.818494	15.115666	8.240824	4.064557	6.786649	35.181553	8.101694	17.421999	9.294244	10.639064	9.659094	18.319026	15.116268	12.842248	10.975423	7.669897
hsa-miR-202-3p	0	0	0	0	0.612163	0	0.212734	0	0	0	0	0.537048	0	0	0	0.14701	0	0	0	0	0	0	0	0.433158	0.15467	0.37318	0	0	0	0	0	0	0	0	0	0	0	0	0.30093	0.313002	0.299452	0	0	0.502536	0.40988	0.250652	0	0.152022	0	0	0.577149	0.208852	0.273196	0.5262	0.188133	0.499347	0.281904	1.997685	0.201606	0	0.314532	0	0.157473	0	0.749166	0.203228	0	0.225523	0	0	0	0.221647	0.268308	0	0.175771	0	0	0.852211
hsa-miR-202-5p	0	0	0.205062	0	0.918245	0	0.638202	0	0	0	0	1.074095	0.291975	0.201267	0	0	0.258479	0	0.156368	0	0	0	0.385118	1.299476	0.15467	1.30613	1.048692	0.40843	0	0	0	0	0	0	0	0	0	0	0.902789	0.156501	0	0	0	0.167512	0	1.378586	0	0	0	0	0.76953	1.253113	0.819588	0.5262	1.128795	0.499347	0.563808	2.305022	0	0	0.314532	0	0.157473	0.191338	2.996663	1.422596	0.462726	0.225523	0	1.451833	0.185885	0	0.804924	0.166537	0.527312	0.790292	0.203249	0.319579
hsa-miR-203a	945.372728	20905.70853	1371.044788	1746.14647	1686.509945	10566.4033	2854.465446	280.218818	1300.37165	682.837156	3609.925785	5248.294405	5012.330092	11963.13425	2726.019781	1003.050018	5702.812223	5213.991542	8799.272442	654.105523	1408.830832	2244.546397	9708.06484	5717.04555	4229.605756	46496.91334	1130.489771	1679.737798	5410.308954	565.962933	9738.115962	1439.943729	1651.756277	4800.755895	156.771207	1384.525932	1230.481608	4221.928129	778.655306	2853.484756	2460.146335	2089.782555	1658.53372	2300.440591	3998.382609	1502.534029	4510.863502	3941.161537	2434.620062	2179.826956	3706.250279	2525.440281	1017.516752	2650.733326	1708.055837	2739.516983	4992.52249	2176.248129	3858.545661	2406.126164	3644.492881	2264.679763	4569.870036	2751.433793	4110.298183	2297.287825	2840.212811	3880.795882	3484.422988	3978.991003	2965.97898	3205.904678	3776.035115	2740.859394	5145.683032	2565.090936	2642.84106	1922.481195
