miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43
hsa-miR-19a-5p	0	0	0	0.34093	0.729374	0	0	0	0	0	0	0	0	0	0.280662	0	0	0	0.38029	0.140889	0.488685	0	0.429288	0	0	0	0	0.139384	0	0	0	0	0	0	0.70719	0	0	0.3223	0	0	0.122759	0	0	0	0	0	0	0	0	0	0.270668	0	0	0	0	0	0	0	0	0	0.174494	0	0	0.124244	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126804	0	0	0	0	0	0	0.228794	0
hsa-miR-19b-1-5p	3.675786	3.622487	4.306853	11.080205	3.64687	9.798418	5.495635	4.215128	14.564261	10.511381	15.810686	11.868427	11.008206	7.419692	9.542504	9.488812	4.234789	2.823926	9.507267	4.931123	10.164633	4.026172	8.371115	13.184996	6.078372	5.783622	5.32776	10.035663	6.757182	9.595036	10.680702	14.605407	10.028294	7.877282	7.779091	8.102395	6.866117	20.304914	7.680195	18.866015	5.769677	1.517493	15.92887	1.741996	5.289688	5.324436	4.685008	3.625671	2.969372	8.666986	1.894671	6.667151	6.041887	8.470049	11.268204	6.542134	2.833943	3.239789	2.605283	5.573144	3.664378	5.073308	2.947587	5.590997	3.409617	7.37351	3.694167	2.28622	10.438082	5.587666	5.919219	5.067571	17.312555	12.30302	8.198218	10.048193	2.074593	2.789695	3.151251	8.508139	7.118211	10.342558	6.009026	14.24979	6.635034	6.527346
hsa-miR-19b-2-5p	0	0	0	0	0	0.208477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126804	0	0	0	0	0	0	0	0
hsa-miR-200a-3p	41.658907	75.947311	88.187943	165.180271	72.937385	326.683405	83.404358	93.0339	160.570979	52.763011	276.2558	132.078627	322.760612	189.944122	67.078193	251.073989	182.964635	54.078187	76.24828	102.003796	104.187488	76.672324	501.837567	123.330425	162.96918	92.187445	125.468743	165.170306	726.993289	269.052658	232.355631	233.188598	79.112095	56.384742	139.080714	142.210986	62.812252	73.806755	332.673734	657.674793	236.188467	191.204056	182.45797	276.832138	1506.635517	163.146168	51.535095	42.382851	98.979069	109.204033	117.334295	95.562484	60.418867	171.798158	74.950643	107.436371	5.281437	54.922109	244.696193	87.577958	162.803075	380.339479	78.995338	200.406204	146.613493	123.301478	17.096262	55.849081	160.82379	168.162166	226.903388	56.306346	287.538953	179.378045	441.442493	70.007906	231.801187	131.36927	169.267126	70.428493	812.412811	81.848865	1552.786976	182.397315	122.633724	35.900405
hsa-miR-200a-5p	231.574511	273.435303	251.438181	582.307337	258.198344	962.746627	313.089617	693.087492	1395.256204	550.920016	1255.368445	796.540931	1208.701063	776.099807	317.989923	832.548449	920.46956	352.990777	368.121374	288.822904	652.588978	269.228387	1757.075418	1719.526328	876.661803	529.990189	817.811128	407.001936	2811.252696	569.436048	436.095048	379.076696	215.886879	537.728029	358.309636	441.999571	285.579581	551.778016	508.37505	1624.835443	930.022782	430.967875	863.055157	425.917933	1618.512428	784.1938	284.425369	144.651795	183.903112	421.082219	311.402782	469.75628	153.361084	706.050475	258.315081	501.563569	18.034176	200.712538	1042.113195	379.132944	814.015374	580.41802	731.394632	538.102461	453.478942	1077.35181	85.05175	521.747989	599.803147	825.378224	519.815034	164.696056	584.11054	507.253552	976.849179	233.579314	298.464772	227.106526	924.666679	507.179687	1678.212218	153.533491	1579.281319	656.711762	388.72145	119.22006
hsa-miR-200b-3p	371.254375	229.465805	466.165565	490.767805	164.109117	1361.354584	190.892533	500.998083	797.029182	219.914578	1098.123989	492.20058	1248.330605	724.458748	265.786811	1509.85992	985.294416	403.115468	273.428994	424.07656	338.071782	260.65089	1690.53579	565.940597	697.636543	368.749786	692.875161	727.725038	1816.886997	697.892047	594.491862	618.738142	217.836825	358.623551	378.346686	611.31167	216.664117	303.606827	978.214385	1605.275826	578.31802	537.192351	507.793079	1603.506985	4961.595539	915.120306	391.727182	251.421574	395.322406	565.087537	403.294347	538.094569	249.388516	885.839244	349.143651	752.345356	26.922448	259.337259	1542.728344	490.277335	920.282333	1570.505574	539.997974	816.534145	536.844054	622.651997	124.65666	323.663385	677.315573	981.832896	964.832664	267.64282	774.297733	538.749285	1764.193399	316.106279	808.95295	555.276094	971.035068	513.797129	1831.253783	226.288037	3663.593962	523.985141	456.673346	171.246849
hsa-miR-200b-5p	21.442085	10.367807	18.047764	23.353662	14.587478	31.271545	10.021453	37.635073	47.697955	13.396859	49.731793	20.176325	76.617118	25.82053	10.665153	66.991019	33.661148	12.142884	7.795958	20.851604	13.878634	9.627803	46.363095	26.572837	23.854743	18.402436	25.839636	25.507313	46.902793	12.336475	16.524859	10.622114	6.128403	24.875621	16.029641	25.424754	10.934928	18.048813	21.693183	25.247165	20.623525	8.599124	12.067325	54.727696	114.653997	36.58843	11.636958	10.001852	9.106074	19.734064	21.518055	31.946761	18.896966	41.55118	16.731578	31.547622	1.416972	12.95915	59.520696	25.317993	40.831638	120.491039	21.812146	30.191387	17.389043	52.433852	7.98971	15.023729	28.608078	46.56389	33.542239	6.381386	22.832499	16.116957	29.955026	9.883467	26.139871	15.977344	39.165532	27.415119	50.202127	5.171279	88.496567	23.206801	8.236592	4.031596
hsa-miR-200c-3p	7330.742314	3088.107623	12867.6463	3519.925104	4649.758323	10113.84302	2936.124382	8257.134861	11176.24977	5800.633326	17424.23807	8350.624501	17869.40128	11693.43494	7417.051784	17743.89049	20346.10177	15849.56832	8726.720266	8582.126086	3701.001464	3212.885433	16387.42204	12020.25378	9827.810042	5214.900155	11816.17204	15598.07053	26891.06694	13785.13031	13886.92685	6877.320896	9367.262026	5340.381427	7831.422858	22766.60998	3325.489008	9338.971864	12734.57271	19318.9369	3094.142586	22412.09988	12773.50594	10369.22904	20738.7526	7243.826387	5022.782745	4530.714312	2583.650675	8213.103338	4190.471859	8515.895183	3313.782047	7663.476329	6641.070765	6641.71933	184.463844	2656.934143	13316.20259	6789.361796	7677.220657	12996.70251	9769.482961	9149.108554	6297.560949	7155.991937	1320.020359	4077.962701	8849.367645	7876.747775	8204.575377	2823.106209	12060.32698	8087.636875	13500.25745	6511.72352	6204.554309	5079.400423	8165.788146	7003.144699	8404.922879	3125.414038	27166.53388	7108.406092	9095.944643	3333.170151
hsa-miR-200c-5p	25.11787	6.37058	22.969882	18.92158	13.858103	39.819101	16.971817	51.183698	53.159553	72.755245	74.453956	54.086113	80.580071	45.408516	27.785527	47.633841	103.155134	40.240949	42.40241	47.338778	27.366319	17.330046	68.042134	163.899643	70.532052	26.814979	40.490975	61.607827	151.440374	36.030342	73.757296	12.44779	112.539741	30.679933	65.532947	84.376657	28.481667	145.357409	40.826302	44.668062	18.904898	69.804656	256.310005	24.968603	63.740745	46.145109	21.158104	15.502872	7.324451	56.535421	22.600724	18.890259	25.581606	44.108177	61.292211	39.10742	0.901709	11.416394	48.29794	39.489699	37.865238	28.695894	50.305489	41.497628	38.699143	52.43385	5.841939	46.5409	59.729027	19.955954	54.887302	13.607366	144.271288	29.15816	41.621721	48.92317	16.320131	16.864974	33.313211	34.032561	47.017666	23.538236	34.688469	64.327624	14.414039	7.679231
hsa-miR-202-3p	0	0	0	0	0	0.208477	0	0	0	0	0	0	0	0	0	0.189776	0	0	0	0	0	0	0	0	0	0	0	0	0.132494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625115	0.197958	0.133338	0	0	0	0	0	0.290762	0	0.154276	0	0	0	0.317082	0.393012	0	0.170481	0	0.085911	0	0	0	0.17937	0	0	0	0	0	0	0.887631	0	0	0	0	0	0	0	0
hsa-miR-202-5p	0	0.124913	0	0	0	2.293247	0	0.602161	0	0.824422	0.574934	0.339098	0	0.296788	0	0.379552	0	0	0	0	0.097737	2.275663	0	0	0.114686	0.175261	0	0.139384	0.66247	0	0	0	1.671383	0	0	0	0.508601	0.3223	0	0	0.245518	0.252915	0.482693	0.145166	0.264484	0.273048	0.151129	12.252269	0.395916	0	1.353337	0.277798	1.54261	0	0.17073	1.599188	0.128816	1.542757	0.200406	0	0.523482	3.646441	0.196506	0.248488	1.704809	0	0.171822	0.489904	0.773192	1.330397	0.358741	1.219971	1.003627	0.12303	0	4.118111	0.414918	1.902064	1.350536	0.945349	0.187321	0.17832	1.638825	0	0.686383	3.263674
hsa-miR-203a	22134.35733	46125.62534	86304.0023	57272.38108	20283.88689	12448.36807	44180.71139	308018.0769	136609.8551	17872.43883	96929.8523	90534.04865	55168.72719	107359.0882	52536.81863	84529.19262	93507.30718	112939.9642	60229.48641	362753.6799	13957.60469	77498.56371	108380.1722	153389.5785	214648.1884	124297.246	115425.9158	42279.97468	46764.86663	58526.19846	215206.6585	9955.576332	138092.1115	95389.71808	108677.9058	29484.89169	15967.78927	20918.25273	155114.4848	139152.1114	58526.25025	108029.5334	194275.7432	1875.838969	29813.47764	230671.8892	145153.963	90223.33887	1455.982124	285544.0128	59358.02578	138546.9891	138639.8325	146495.0859	268872.196	135526.4019	631.582556	5228.553884	132842.979	350176.3263	216165.1413	87601.58306	431745.8677	2021.456258	95645.35765	259810.5581	28332.02692	96217.35155	294298.4487	92786.93402	202723.5581	45492.71007	344050.8919	164749.9995	188053.2417	278253.5844	1282.789976	655.578305	165893.4851	171916.4255	100589.3318	129245.4195	6919.393562	214549.9316	268418.4528	39870.95053
hsa-miR-204-5p	0	3.497572	0.820353	0	4.376243	3.335632	0.646545	5.419451	2.548746	2.473267	0	3.560528	31.263307	0.890363	0.561324	4.934182	3.148946	2.117945	1.331017	0	0.684159	4.201224	4.936811	0	0.114686	8.763066	5.32776	5.714753	1.457432	0.195817	0.604568	247.462062	1.949947	0	0.23573	1.396965	2.797307	0.6446	1.077921	2.080811	4.296567	0.50583	0	11.032639	35.176428	10.2393	20.251327	14.25264	19.795814	9.200341	28.555406	16.390077	23.267692	7.511174	7.682867	15.55574	9.017088	8.330883	17.234949	19.107918	13.436053	13.634511	5.109151	3.106109	11.422213	10.240986	8.419265	2.612821	19.136485	6.385905	23.138765	6.944449	17.312555	9.104234	44.144249	10.542367	3.457655	6.340215	9.003571	6.144768	17.60821	17.475358	31.410818	8.142738	25.396162	12.478751
hsa-miR-205-3p	2.450524	2.748091	5.537379	12.102994	8.023113	10.840804	3.879271	11.742145	7.646243	7.007593	19.835223	4.408273	6.164594	13.652235	10.10383	8.919483	3.148944	4.51828	6.845228	5.917346	10.848794	4.726377	7.941828	11.967919	4.587449	4.907313	11.188296	10.453812	5.034766	4.112158	10.479182	5.477035	13.928189	18.242125	17.44402	8.940575	8.391923	14.82581	7.006493	6.658595	4.664844	2.529153	15.446176	0.870996	2.909326	7.099248	4.382748	1.250231	0.395916	5.600205	1.08267	8.33394	3.470875	19.337278	5.804831	4.506803	0.257631	0.617104	2.805688	5.095445	4.013366	4.280604	4.126623	0.621221	1.363847	10.650622	0.94502	3.102724	9.471594	4.523348	5.919219	1.689191	10.538079	8.73514	5.991004	6.918425	1.521367	1.648456	16.20643	7.090114	7.305532	3.5664	2.731378	5.496344	4.347091	1.727828
hsa-miR-205-5p	3503.636578	2916.226866	17219.00348	16725.82359	10028.16113	5917.827139	3006.759469	15891.63508	17864.15841	5437.475426	29302.08759	5656.322261	12139.85002	21758.9894	10968.82801	11915.86156	7975.412159	6145.28705	12864.28281	9978.901837	5457.430473	9406.363664	10405.08037	12172.79404	6967.419927	11602.82423	15691.58451	8104.913944	5020.453727	14294.64634	25369.08372	5530.967946	16897.95347	17880.59702	10024.655	9663.921072	6587.911465	9494.320583	26253.87277	15648.66488	10379.64841	15253.32894	17412.66876	1286.02828	3940.024452	4895.613758	7677.36914	3955.607775	405.61623	7691.617412	1364.840096	17617.38837	5202.193026	8752.277125	10542.7724	6190.748258	103.696504	845.89304	3937.985443	6389.050906	4013.540748	4618.294694	4231.752669	1312.393512	1481.137238	7785.607806	1277.666305	2064.619672	10148.90891	9819.659381	5176.446533	3306.120791	19425.18807	13438.83584	16754.94991	12327.32138	722.096653	1296.700918	5764.085752	6253.010344	12872.72505	5944.117734	10446.41874	12715.90213	14750.8236	4397.511546
hsa-miR-206	68.61467	4064.80504	395.820301	11.932527	14.587478	15.218819	335.395435	36.731831	11733.33275	19965.85244	3.449604	22719.89735	18.053458	38.5824	17115.04275	370.443259	5907.0974	45.747604	3182.27237	152.019471	14.269581	8288.838296	26.186563	9.128074	5.390255	19.103483	4028.052788	62.304748	10593.00897	7.832683	3323.108746	4.979116	5.571274	40.215588	14.850991	18.439932	6817.036312	14.825811	13026.2854	4.161621	10226.81336	3167.512712	17.859643	15.242461	205.768881	35.496238	2588.240626	36.881832	24949.25838	2828.504466	23.818727	9393.181006	19127.32788	14.862538	7404.064885	68.765093	29526.58102	17045.13811	26.65405	5281.269352	15.0065	455.329295	16.702994	29.321676	13880.54717	52.843492	16648.0641	15029.60818	4883.089612	1610.844543	48.429972	28281.55011	7697.312314	13393.19163	3778.432443	10.871816	8.574983	6.974237	2.701071	782.27622	1984.295348	48899.43592	19.665904	9186.229084	2777.791124	6901.900706
hsa-miR-208a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.561324	0	0.108584	0	0	0	0	0.175051	0	0	0	0	0.266388	0	0	0	0	0	0	0	0	0	0.508601	0	0.13474	0	0	0.50583	0	0	0	0	0	0	0.890811	0	0	0.277798	0.642755	0	0.17073	0	1.545786	0	0	0	0	0	0	0	2.386731	0	2.147772	0.163301	0.386596	0	0	1.68919	0	0.984242	0	0	0	0	0	0	0.561964	0.8916	0	0.814273	0.228794	0.191981
hsa-miR-208b-3p	0	0.74948	0	0	0	0	0.161636	0	1.456426	2.473267	0	2.373685	0	0	1.122648	0	1.194428	0	0.380291	0	0.097737	6.651937	0.429288	0	0	0	0.532776	0.139384	2.384888	0	0.604569	0	0	0	0	0	4.577412	0	8.219157	0	4.542086	5.817053	0	0	0.132242	0	3.022586	0	8.512199	2.533427	0	20.834844	33.680307	0	4.26826	0	34.909011	4.782543	0	6.687773	0	0.475623	0	0	35.63049	0	40.378104	5.388946	8.118509	1.596476	0	46.452734	0.75272	9.965446	0.315316	0.329449	0.138306	0	0	0.945349	5.244998	55.63583	0	16.285474	7.092622	11.326866
hsa-miR-20a-3p	1.837893	1.873701	2.25597	4.432082	0.729374	2.293247	0.808181	5.419451	9.830876	4.534322	18.397889	5.086469	11.008207	4.155029	5.613238	3.226197	1.954517	1.270766	4.563487	2.395116	2.052474	1.575459	4.507523	5.67969	5.50494	4.907315	6.393312	2.927068	2.384888	5.482878	4.030453	6.14091	4.178456	7.877281	1.88584	4.190894	3.560209	10.958207	14.14773	13.872069	3.191736	2.78207	14.963484	2.32266	0.925695	2.593956	3.324844	2.250417	0.98979	3.333457	0.406002	5.000363	4.242177	1.118685	2.731686	2.180711	1.803419	1.38848	2.805689	2.866189	0.697976	1.902491	0.982529	3.354598	0.511443	4.506034	1.374575	1.306411	2.70617	2.926873	1.973074	3.284537	8.781731	8.612114	4.414424	9.224571	0.553224	0.887629	1.800714	0.472674	5.432319	8.559358	8.467264	5.903483	5.94865	5.951404
hsa-miR-20a-5p	115.787256	132.283228	360.545123	371.272066	144.416024	310.422203	95.203813	200.218585	543.611043	266.288314	622.366083	400.983248	559.657213	197.957389	517.540527	546.36585	105.001069	113.66303	326.669689	374.765331	217.757713	101.179459	136.513556	293.518295	269.627407	166.498241	304.215084	372.574033	328.849525	740.58017	867.958118	958.64579	693.623651	227.197346	189.526938	217.647071	130.710512	335.514552	551.761417	1341.845234	193.34555	154.784237	747.208827	88.261113	122.456286	177.754236	150.827056	110.520473	72.551658	230.275172	57.381478	189.458182	177.142979	208.714784	277.436885	158.610392	70.333281	59.704652	108.019041	160.188049	102.951569	75.465442	126.74625	101.010689	71.431458	181.060645	116.409218	95.694624	231.957389	107.229989	233.540087	550.48835	1044.022315	755.651545	650.181731	617.057911	55.59909	41.084599	96.788384	109.187798	186.38477	520.6943	252.379097	488.157101	703.542353	563.463564
hsa-miR-20b-3p	0	0	0	1.363718	0	0.833908	0	0.301081	0.364107	0	0	2.204137	1.761313	0	0	0.759105	0.325752	0.141196	0	0.281778	1.270579	0.700204	0	0.811384	0.344059	0	0	0.139384	5.034764	0.587451	0	1.327765	0.557127	0	0.70719	0.558786	0	0	0	0.277441	0.368277	0	0	1.596829	0.793452	0.273048	0.151129	0.250046	0.395916	0.266676	0	0	0.385653	0.159812	0.17073	0.290762	0	0.308551	1.002032	0.318465	0.348988	0.634164	0.982529	1.863665	0	0.819279	0.343644	0.163301	0.386596	0	0.538111	0.187688	1.254535	0.369091	0.315316	0.164724	1.383062	0.507217	0	0	1.311249	0.17832	0.819413	0.407137	0.457588	0.575942
hsa-miR-20b-5p	0	2.99792	2.050882	42.616169	2.188122	19.388358	2.424545	14.75295	5.097492	3.916005	0.287467	39.504904	45.79414	3.85824	2.245295	11.955905	3.800452	3.106318	4.373342	3.381342	9.480476	7.702243	5.795387	7.099612	1.376235	6.484668	1.598328	10.871969	101.225238	9.399219	6.247203	28.878873	14.763877	0.829188	2.12157	3.073322	2.543006	4.834503	5.524351	8.600684	3.805531	11.128278	19.790415	20.178116	7.670048	4.505292	5.591785	3.750694	5.542827	6.400236	4.330678	7.222746	11.055367	3.675681	2.048764	4.506803	8.244195	2.776961	8.81788	2.706955	2.966401	4.439144	3.340599	15.03357	1.363846	5.325312	13.402095	3.755931	4.832446	7.982381	5.022368	41.479007	9.283544	14.148474	27.117181	8.730396	10.787883	5.198977	2.701072	3.30872	13.112497	21.398396	27.860031	17.099747	62.918421	17.470252
hsa-miR-21-3p	1062.914751	2138.516402	2312.574985	4544.247347	4470.332357	4419.086235	4284.818124	6881.196618	4435.909795	5104.821145	5145.372067	4711.426007	3364.107873	5683.187456	6557.665073	3492.64228	3042.642159	2308.559686	5402.219185	1786.334447	7268.298909	5024.487883	4275.922233	10973.56794	5617.562595	4626.898471	3849.839223	3210.436863	7293.781743	4298.380568	4489.924976	2173.218137	4007.417597	12512.85241	7053.042318	3585.449107	7092.698169	14269.521	5691.294403	2225.21859	3844.814352	5582.854962	7704.74632	162.005593	3220.362336	5179.583658	5156.985572	2688.998135	400.073401	1951.005388	1150.742227	4617.0014	896.3846	3240.512783	3726.873714	2423.060876	793.117236	2201.666886	1855.963521	610.975687	1771.813955	716.287522	1479.885271	2780.465248	1012.826466	7461.58298	893.644763	1992.440449	3045.02061	7254.654195	1959.440795	4477.668109	8316.549779	4350.594261	3370.098134	4691.35326	592.36544	1576.684845	2489.037031	3792.739811	10289.37594	1289.253353	2380.940032	3068.590549	1166.393143	5622.732834
hsa-miR-21-5p	184189.3422	391486.906	387598.3142	494676.5586	522149.9899	320804.3542	503479.465	202832.8672	214562.8774	351103.4064	222142.1467	401891.0133	211862.179	272183.099	313806.9372	255194.6032	209878.5701	302339.284	317265.4819	255306.4869	396631.8903	272075.7649	231689.2608	231338.2609	358549.5169	223281.5016	191743.1444	304215.4111	351261.2413	319308.7187	282422.3266	412743.4829	335224.131	233844.1128	231920.3911	284895.5448	269327.2274	251509.8961	382238.2138	289248.1755	363432.6728	336276.8473	271681.3647	23567.74933	152896.0648	132130.7845	210042.8452	200753.3145	39560.44978	95616.73145	77423.31182	82993.79483	77989.57376	209346.6828	205903.2423	167081.2926	19289.86832	85649.33129	70164.47953	52758.71365	90862.7865	49995.69562	39438.71652	164496.5934	41176.56987	87129.08682	78555.51543	76381.1298	55769.12817	118128.5999	85091.10216	162092.4488	138897.6218	187844.0002	101043.034	325583.0464	66950.98732	81620.13308	96681.23895	172633	175682.7255	68411.02824	207192.3126	150768.8881	93201.40141	366991.0182
hsa-miR-210-3p	62.48836	148.02231	929.664986	326.95125	231.211513	130.298105	179.739625	723.195549	1459.338951	491.973842	1345.345621	1319.938515	1117.553114	980.883311	1122.647564	259.803698	493.298714	195.415694	239.202835	1006.794383	373.159312	181.0027	522.872675	997.597085	1271.985356	973.576553	1321.284427	432.509251	774.426054	3100.95917	1334.483087	3440.901049	1402.011176	481.343285	856.642907	582.254807	213.866809	1036.517584	351.133152	1548.261621	409.524287	771.897858	1224.592243	52.550201	91.114883	211.066088	68.763837	14.377664	12.669321	285.210533	14.210036	419.752656	70.188728	100.521899	482.484087	88.100729	14.040894	4.319717	37.676399	301.586642	49.381856	18.54928	297.313295	55.537242	33.584719	301.08501	22.165002	68.913192	403.605856	48.160367	154.617169	68.975271	1441.960162	430.605733	1326.850015	337.35574	16.73505	3.677326	46.368389	43.486048	437.770059	185.452765	212.227879	671.572258	558.029203	34.172578
hsa-miR-211-5p	0	0.124913	0	0.170465	0	0.208477	0	0	0	0	0	0	0	0	0	0	0.325753	0.141196	0	0	0	0	0	0	0	0	0	0.278768	0	0.195817	0	0	0	0	0	0	0	0	0	0	0.122759	0	0	0	0.264484	0	17.077612	20.003706	0	2.666766	0.270668	0.555596	0	0	0	0	0.128816	0.154276	0.200406	16.878661	0.174494	43.440191	0	0	1.193366	0	0.085911	0	0.773192	11.175334	0	0.281532	8.029011	0.49212	0	0	0	0.380413	0	0	0	0	0	2.239252	10.524536	10.366961
hsa-miR-2110	1.837893	0.499653	0.410176	1.704647	0	2.501724	0.969817	0.903242	0.728214	1.648846	0.862401	2.204137	1.320984	1.780728	2.245295	2.277314	1.194426	1.411964	0.950725	1.831559	1.466053	1.225357	1.287864	0	1.605607	1.927874	0.799164	2.648301	0.397482	0.587451	1.410659	2.65553	0.835691	1.243781	2.3573	3.073323	1.780106	3.5453	1.212663	1.109766	0.491036	1.517493	2.896158	1.306497	5.818657	0.68262	0.453388	1.25023	0.791832	0.533353	1.488671	0.555596	1.41406	1.118685	1.707303	1.163044	1.288156	0.925653	1.202437	0.955396	0.872471	0.951246	0.589518	1.118198	0.511443	1.228918	2.663237	1.959615	0.773192	1.330397	0.53811	1.032284	0.501814	0.49212	1.57658	1.317795	0.968143	2.028869	3.601429	0	0.936607	1.7832	7.374715	0.407137	1.372766	1.343866
hsa-miR-2113	0	0	0	0	0	0	0	0	0	0.206106	0	0.169549	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175261	0	0	0	0	0	0	0	0	6.12898	0.838179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17832	0	0	0	0
hsa-miR-2114-3p	0	0	0.205088	0.170465	0	0	0	0	0	0	0	0.169549	0	0	0	0	0	0.282393	0	0	0.390948	0	0.429288	0	0.114686	0	0.532776	0.278768	0.132494	0	0	0	1.671382	0	0	0	0	0	0	0	0.122759	0	0	0.290332	0	0	0	0.125023	0	0	0.270667	0.277798	0	0.319624	0.34146	0.145381	0	0	0	0	0.348988	0	0	0	0.170481	0	0	0	0	0	0	0.187688	0	0.24606	0	0	0	0.126804	0	0	0	0.17832	0	0	0.228794	0
hsa-miR-2114-5p	0	0	0.205088	0.511394	0.729374	0	0	0.301081	0	0	0	0.339098	0	0	0.280662	0.189776	0	0	0	0	0	0	0.214644	0	0	0	0	0.139384	0	0	0	0	0.835691	0.414594	0	0.279393	0.762903	0	0	0.277441	0	0.252915	0	0.290332	0.661211	0	0.151129	0	0.098979	0	0.676668	0	0.128551	0.639248	0.682921	0.581524	0.128816	0.154276	0.400812	0.159233	0.174494	0.317082	0	0	0	0	0.257733	0.326602	0.193298	0.532159	0.53811	0.093844	0	0	0.315316	0.164724	0.414918	0.253608	0	0	0.374643	0.17832	0	0	0	0
hsa-miR-2115-3p	0	0	0	0.170465	0	0.208477	0.161636	0.903242	0	0.206106	2.012269	0.678196	0	0.296788	0.841986	0	0	0.141196	0.190145	0.422667	0	0.175051	0	0.405692	1.83498	0.350522	0.799164	1.811995	0.662469	0	1.007613	0	0	0.414594	0	0	0	1.9338	0.13474	0.416162	0.245518	0.758746	0	0	0.396727	0	0.151129	0.125023	0	0.133338	0	0	0.128551	0.639248	0	0.436142	0	0.308551	0	0.159233	0.348988	0.158541	0.196506	0.124244	0	0.409639	0.171822	0	0	0.798238	0	0.46922	0.501814	0.12303	0	0.329448	0	0	0	0	0.187321	0	0.273138	0.203568	0	1.343866
hsa-miR-2115-5p	0	0.124913	0.205088	0.340929	0	0.416954	0	0	0	0	0.287467	0.339098	0.440328	0	0	0	0	0	0	0	0	0.175051	0	0.202846	0.688118	0.350522	0.532776	0.836305	0	0	0	0	0	0	0	0	0	1.933801	0.13474	0	0	0	0	0	0.528969	0.273048	0.151129	0.125023	0	0	0	0	0.385652	0	0	0	0	0.154276	0	0	0.348988	0.158541	0.589518	0.124244	0.170481	0.409639	0.343643	0	0	0	0	0.187688	0.250907	0.12303	0	0	0.138306	0.253608	0	0	0	0.35664	0	0	0	0.191981
hsa-miR-2116-3p	0.612631	0.124913	0.410176	0.511394	0.729374	0.208477	0	0.301081	0	0.206106	0	0.169549	0	0.296788	0	0.759105	0.434337	0	0.570436	0.140889	0.390948	0.350102	0.429288	0.608538	0.458745	0.525784	0	0.418152	0.264988	0.979085	0.403045	0.165971	0	0.414594	0.70719	0.279393	0.762902	1.933801	0	0.277442	0.368277	0.252915	0	0.145166	0	0.136524	0.302258	0.250046	0.593874	0.400015	0	0	0.385653	0	0.512191	0	0.257632	0	0.400813	0	0.348988	0.317082	0	0.372733	0.511443	0	0.515465	0.163301	0.773192	0	0.35874	0.187688	0	0	0.315316	0.329449	0	0.253608	0.450179	0	0.374642	0	0	0	0	0.191981
hsa-miR-2116-5p	0	0.124913	0.205088	0	0.729374	0	0	0	0	0	0	0	0	0	0.561324	0	0.108584	0	0	0	0	0	0.214644	0	0	0.175261	0.266388	0.139384	0.132494	0.195817	0.403045	0.165971	0	0	0.47146	0	0	0.3223	0.40422	0.138721	0.245518	0	0.482693	0.290333	0	0.136524	0	0	0	0.133338	0	0	0.128551	0	0	0.145381	0	0	0	0	0	0	0	0	0	0.409639	0.085911	0	0	0.532159	0	0.281532	0	0	0	0	0	0	0	0	0.187321	0.17832	0	0	0	0
hsa-miR-2117	0	0	0	0	0	0	0	0	0	0	0	0	0.440328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
